ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65978406,Женщина,40,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,1-3 года,"Продажи, закупки;",До 50 человек,Товаровед,100,30 000 — 60 000,Нет,30.501552714449367,33.455213871994616,19.632325808790558,24,20,12,20,16,16,8,13,10,15,21
65978378,Женщина,54,Город с численностью жителей миллион и более человек,Высшее,20 + лет,20 + лет,Производство;,1000+ человек,инженер,30000,15 000 — 30 000,Нет,23.413457395943553,24.91853781190456,15.878079140575856,14,14,6,14,11,9,15,15,10,12,20
65978375,Женщина,36,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,5-10 лет,"Продажи, закупки;",До 50 человек,руководитель,100,15 000 — 30 000,Нет,23.624838317283334,22.936202630802946,12.262740004644101,12,11,6,10,9,9,17,20,11,15,19
65978315,Женщина,38,Москва,Неоконченное высшее,10-15 лет,0-1 года,"it, консалтинговые услуги",До 500 человек,менеджер,80,30 000 — 60 000,Да,27.239549033005968,27.620981798872755,17.827707836106192,18,19,9,15,8,6,14,17,8,11,19
65978293,Женщина,42,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,20 + лет,3-5 лет,Медицина;,До 1000 человек,...,80,15 000 — 30 000,Нет,30.501552714449367,31.45521387199462,16.878079140575856,16,16,10,18,8,8,10,16,11,12,21
65978274,Женщина,46,Москва,Неоконченное высшее,20 + лет,5-10 лет,Торговля;,До 1000 человек,продавец,42000,30 000 — 60 000,Нет,17.60704086917391,20.232166582112203,10.552761450336039,14,14,9,11,10,11,14,12,9,10,15
65978269,Мужчина,34,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,3-5 лет,"Продажи, закупки;",1000+ человек,Администратор,70,100 000 — 150 000,Нет,22.670803438173422,20.00506315145483,12.40775072749007,13,13,7,13,12,10,10,11,14,12,17
65978197,Женщина,35,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,3-5 лет,Администрация,До 50 человек,Ведущий специалист,60,15 000 — 30 000,Да,24.346590275816347,27.508779880616373,11.313111309113765,15,14,7,12,8,9,7,12,5,15,13
65978100,Женщина,49,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,1-3 года,Образование;,До 50 человек,преподаватель,90,60 000 — 100 000,Нет,22.575442446124054,27.77043470392481,12.168100586267796,16,13,8,16,10,6,12,16,12,14,18
65978068,Женщина,30,Город с численностью от 100 тысяч до 500 тысяч,Высшее,5-10 лет,5-10 лет,Медицина;,1000+ человек,врач,80,30 000 — 60 000,Нет,20.429701755967137,19.11726506971121,13.11772928179813,11,10,4,9,11,9,12,16,7,11,20
65978001,Женщина,44,Москва,Два и более высших и/или научная степень,15-20 лет,5-10 лет,кадастровые работы,До 50 человек,кадастровый инженер,100,30 000 — 60 000,Нет,23.77490005470675,23.95284693990538,16.827707836106192,10,11,6,12,9,7,8,12,3,11,15
65977987,Женщина,30,Москва,Высшее,10-15 лет,10-15 лет,"Продажи, закупки;",1000+ человек,менеджер,60,100 000 — 150 000,Нет,26.1441880409566,29.675897604566817,14.827707836106192,23,18,10,19,15,14,12,15,11,14,19
65977887,Женщина,50,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,15-20 лет,1-3 года,Торговля;,1000+ человек,продавец-кассир,50,30 000 — 60 000,Нет,21.998204288803613,23.80204423778102,15.682697113260222,12,10,6,10,7,9,8,11,8,10,14
