ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65974705,Мужчина,28,Город с численностью жителей миллион и более человек,Неоконченное высшее,3-5 лет,3-5 лет,Обслуживание;,1000+ человек,слесарь эрго,20000,15 000 — 30 000,Нет,32,30,16,16,11,7,12,5,10,17,15,11,13,19
65974581,Женщина,42,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,0-1 года,Производство;,До 500 человек,специалист по кадрам,50,30 000 — 60 000,Нет,33,30,15,18,15,8,16,9,10,20,15,8,14,20
65974563,Мужчина,53,Город с численностью менее 50 тысяч,Среднее общее (11 классов),20 + лет,15-20 лет,строительство,До 50 человек,рабочий,90,15 000 — 30 000,Нет,29,29,18,18,15,9,15,12,12,14,16,8,13,20
65974467,Женщина,27,Город с численностью жителей миллион и более человек,Высшее,3-5 лет,1-3 года,Образование;,До 500 человек,учитель - дефектолог,100,15 000 — 30 000,Нет,30,22,13,15,12,4,10,7,9,6,6,7,8,18
65974372,Женщина,43,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,15-20 лет,Образование;,До 500 человек,специалист,30,30 000 — 60 000,Затрудняюсь ответить,29,24,14,16,15,10,14,9,8,4,8,7,9,17
65974271,Мужчина,48,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,10-15 лет,Производство;,До 50 человек,рабочий,70,15 000 — 30 000,Нет,31,26,16,18,20,11,19,14,14,16,13,10,14,19
65973970,Мужчина,41,Город с численностью от 50 тысяч до 100 тысяч,Высшее,15-20 лет,1-3 года,Производство;,До 500 человек,токарь,75,30 000 — 60 000,Да,29,27,19,19,19,7,18,13,15,4,13,5,14,21
65973932,Женщина,53,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,20 + лет,Медицина;,До 500 человек,врач,80,15 000 — 30 000,Нет,35,30,14,10,12,7,16,10,11,4,12,13,15,17
65973892,Мужчина,55,Город с численностью от 50 тысяч до 100 тысяч,Высшее,20 + лет,15-20 лет,Медицина;,1000+ человек,Инженер-программист,100,30 000 — 60 000,Нет,25,25,15,17,15,8,15,9,9,12,15,10,12,21
65973496,Мужчина,51,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,3-5 лет,Производство;,До 500 человек,специалист,500000,30 000 — 60 000,Нет,17,18,8,14,13,8,12,8,9,15,13,9,11,13
